ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
11000,2018180571,87301532,2018,C01,ODA Grants,Finland,Moldova,0.00333345,0.00150005,I.5.a. Government & Civil Society-general,Legal and judicial development,IDOM Promoting effective human rights approach towards people with mental disabilities for ensuring a better protection of their rights,IDOM PROMOTING EFFECTIVE HUMAN RIGHTS APPROACH TOWARDS PEOPLE WITH MENTAL DISABILITIES FOR ENSURING A BETTER PROTECTION OF THEIR RIGHTS,The overall objective of the project is to support local communities relevant authorities and individuals to enable a collaborative approach at contributing to promoting and respecting the rights of people with mental disabilities.The specific objects are to: 1. take relevant measures to strengthen the capacities of relevant authorities and population in order to promote human rights of persons with mental disabilities (PMD)2. contribute to improving the capacities of the Ministry of Health Labour and Social Protection (MHLSP) and its institutions where persons with mental disabilities are placed 3. establish relationship between MHLSP and relevant stakeholders for further improvement of PMDs life 4. Contribute to reviewing cases of legal incapacitation and restore the legal capacities of PMD5. Share best practices for promoting and respecting the human rights of PMD6. Support in systematization of the serious violations existed in psycho-neurological and psychiatric institutions and providing practical recommendations for removing the deficiencies and ensuring the guarantees for preventing the abuses towards PMD7. enhance the capacities of journalists by training them on reporting accurately fairly and inclusively the stories of PMD in order to prevent their stigma and discrimination; raise awareness of media and the society on promoting the rights of PMD8. take the cases of PMD for strategic litigation,No gender component,Not screened,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170201,87301531,2018,C01,ODA Grants,Finland,Moldova,0,0.000829876,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Building the capacity of local public authorities in school inclusion of children with intellectual disabilities and autism,BUILDING THE CAPACITY OF LOCAL PUBLIC AUTHORITIES IN SCHOOL INCLUSION OF CHILDREN WITH INTELLECTUAL DISABILITIES AND AUTISM,Goal: Develop human resources qualified in assessment and diagnosis of children with disabilities and autism in three pilot districts  Ungheni Leova and Orheito improve access to equal education for all.Objectives:1.The representatives of the district Psycho-pedagogical Assistance Service (PAS) in three pilot districts from Moldova have the required knowledge in assessment and diagnosis of the development level of children with intellectual disabilities and autism for their inclusion into mainstream education.2.Children with intellectual disabilities and autism benefit from an inclusive learning environment in accordance with their rights under the national law and international standards.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170200,87301530,2018,C01,ODA Grants,Finland,Moldova,0,0.000993324,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Nothing for us without us: development of the network of human rights experts in psycho-social and intellectual disabilities,NOTHING FOR US WITHOUT US: DEVELOPMENT OF THE NETWORK OF HUMAN RIGHTS EXPERTS IN PSYCHO-SOCIAL AND INTELLECTUAL DISABILITIES,The goal of the project is to develop a network of experts in the rights of persons with psycho-social and intellectual disabilities formed by peer support workers through capacity building and empowerment of active representatives of users and survivors groups from Republic of Moldova.Objective 1: At the end of the ten months project twelve leaders and experts - people with psycho-social or intellectual disabilities will be capacitated to promote and protect the rights of persons with psycho-social and intellectual disabilities and will have abilities to lobby legislative modification and development of good practices for persons with psycho-social and intellectual disabilities.Objective 2: At the end of the ten months project a network of peer support workers in psycho-social and intellectual disabilities will be developed and empowered to promote the human rights in Republic of Moldova.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170157,67201116,2018,C01,ODA Grants,Finland,Armenia,0,0.00100004,I.5.a. Government & Civil Society-general,Media and free flow of information,Accessibility of information without discrimination,ACCESSIBILITY OF INFORMATION WITHOUT DISCRIMINATION,Information resource center will be set up in Yerevan in which persons with disabilities (mobility visual hearing intellectual and mental) can go and get information and advice about their situation and other things. The center will also have a website for those who cannot physically come to the center. There is no such place in Armenia even though about 7% of the population is disabled. The center will be wheelchair accessible and it has different devices to aid the disabled persons themselves to find the information they need. There will also be personnel to assist if needed. There will be literature computers and internet connection at the center. This gives the disabled the possibility to take control of their own lives and take part in the society. The center will be formed by an NGO called Disablility Info. The director of the NGO is disabled and thus has personal experience on the challenges that the disabled face.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170200,87301530,2018,C01,ODA Grants,Finland,Moldova,0,0.00148999,I.5.a. Government & Civil Society-general,Human rights,Nothing for us without us: development of the network of human rights experts in psycho-social and intellectual disabilities,NOTHING FOR US WITHOUT US: DEVELOPMENT OF THE NETWORK OF HUMAN RIGHTS EXPERTS IN PSYCHO-SOCIAL AND INTELLECTUAL DISABILITIES,The goal of the project is to develop a network of experts in the rights of persons with psycho-social and intellectual disabilities formed by peer support workers through capacity building and empowerment of active representatives of users and survivors groups from Republic of Moldova.Objective 1: At the end of the ten months project twelve leaders and experts - people with psycho-social or intellectual disabilities will be capacitated to promote and protect the rights of persons with psycho-social and intellectual disabilities and will have abilities to lobby legislative modification and development of good practices for persons with psycho-social and intellectual disabilities.Objective 2: At the end of the ten months project a network of peer support workers in psycho-social and intellectual disabilities will be developed and empowered to promote the human rights in Republic of Moldova.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170201,87301531,2018,C01,ODA Grants,Finland,Moldova,0,0.00165975,I.5.a. Government & Civil Society-general,Human rights,Building the capacity of local public authorities in school inclusion of children with intellectual disabilities and autism,BUILDING THE CAPACITY OF LOCAL PUBLIC AUTHORITIES IN SCHOOL INCLUSION OF CHILDREN WITH INTELLECTUAL DISABILITIES AND AUTISM,Goal: Develop human resources qualified in assessment and diagnosis of children with disabilities and autism in three pilot districts  Ungheni Leova and Orheito improve access to equal education for all.Objectives:1.The representatives of the district Psycho-pedagogical Assistance Service (PAS) in three pilot districts from Moldova have the required knowledge in assessment and diagnosis of the development level of children with intellectual disabilities and autism for their inclusion into mainstream education.2.Children with intellectual disabilities and autism benefit from an inclusive learning environment in accordance with their rights under the national law and international standards.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2018180571,87301532,2018,C01,ODA Grants,Finland,Moldova,0.0266676,0.0120004,I.5.a. Government & Civil Society-general,Human rights,IDOM Promoting effective human rights approach towards people with mental disabilities for ensuring a better protection of their rights,IDOM PROMOTING EFFECTIVE HUMAN RIGHTS APPROACH TOWARDS PEOPLE WITH MENTAL DISABILITIES FOR ENSURING A BETTER PROTECTION OF THEIR RIGHTS,The overall objective of the project is to support local communities relevant authorities and individuals to enable a collaborative approach at contributing to promoting and respecting the rights of people with mental disabilities.The specific objects are to: 1. take relevant measures to strengthen the capacities of relevant authorities and population in order to promote human rights of persons with mental disabilities (PMD)2. contribute to improving the capacities of the Ministry of Health Labour and Social Protection (MHLSP) and its institutions where persons with mental disabilities are placed 3. establish relationship between MHLSP and relevant stakeholders for further improvement of PMDs life 4. Contribute to reviewing cases of legal incapacitation and restore the legal capacities of PMD5. Share best practices for promoting and respecting the human rights of PMD6. Support in systematization of the serious violations existed in psycho-neurological and psychiatric institutions and providing practical recommendations for removing the deficiencies and ensuring the guarantees for preventing the abuses towards PMD7. enhance the capacities of journalists by training them on reporting accurately fairly and inclusively the stories of PMD in order to prevent their stigma and discrimination; raise awareness of media and the society on promoting the rights of PMD8. take the cases of PMD for strategic litigation,No gender component,Not screened,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170157,67201116,2018,C01,ODA Grants,Finland,Armenia,0,0.00500018,I.5.a. Government & Civil Society-general,Human rights,Accessibility of information without discrimination,ACCESSIBILITY OF INFORMATION WITHOUT DISCRIMINATION,Information resource center will be set up in Yerevan in which persons with disabilities (mobility visual hearing intellectual and mental) can go and get information and advice about their situation and other things. The center will also have a website for those who cannot physically come to the center. There is no such place in Armenia even though about 7% of the population is disabled. The center will be wheelchair accessible and it has different devices to aid the disabled persons themselves to find the information they need. There will also be personnel to assist if needed. There will be literature computers and internet connection at the center. This gives the disabled the possibility to take control of their own lives and take part in the society. The center will be formed by an NGO called Disablility Info. The director of the NGO is disabled and thus has personal experience on the challenges that the disabled face.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Embassy Of Finland,Other channel,10000,Donor Government
11000,2017170157,67201116,2018,C01,ODA Grants,Finland,Armenia,0,0.00400014,I.6. Other Social Infrastructure & Services,Social Protection,Accessibility of information without discrimination,ACCESSIBILITY OF INFORMATION WITHOUT DISCRIMINATION,Information resource center will be set up in Yerevan in which persons with disabilities (mobility visual hearing intellectual and mental) can go and get information and advice about their situation and other things. The center will also have a website for those who cannot physically come to the center. There is no such place in Armenia even though about 7% of the population is disabled. The center will be wheelchair accessible and it has different devices to aid the disabled persons themselves to find the information they need. There will also be personnel to assist if needed. There will be literature computers and internet connection at the center. This gives the disabled the possibility to take control of their own lives and take part in the society. The center will be formed by an NGO called Disablility Info. The director of the NGO is disabled and thus has personal experience on the challenges that the disabled face.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Embassy Of Finland,Other channel,10000,Donor Government
11000,2018000379,011687/01/2,2018,C01,ODA Grants,Italy,Jordan,0.942351,0.942351,I.6. Other Social Infrastructure & Services,Social Protection,ASSISTANCE AND SUPPORT SERVICES FOR PEOPLE WITH DISABILITIES,ASSISTANCE AND SUPPORT SERVICES FOR PEOPLE WITH DISABILITIES,The programme aims at improving access to and the quality of the assistance services for people with physical and mental disabilities in the most disadvantaged and least served areas of the Cpuntry.,Significant gender component,Principal disability component,AICS - Sede di Amman,Central Government,11001,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,AICS - Sede Di Amman,Other channel,10000,Donor Government
11000,2018005918-1,009-120770-A,2018,C01,ODA Grants,Spain,Cuba,0.0390918,0.0390918,I.6. Other Social Infrastructure & Services,Multisector aid for basic social services,Strengthening and diversifying the social care program in the Historic Center of Havana older adults and groups with needs,STRENGTHENING AND DIVERSIFYING THE SOCIAL CARE PROGRAM IN THE HISTORIC CENTER OF HAVANA OLDER ADULTS AND GROUPS WITH NEEDS,"Título completo del proyecto: Fortalecimiento y diversificación del programa de atención social en el Centro Histórico de La Habana: adultos mayores y colectivos con necesidades especiales. Tercera fase :: Fortalecer el programa de atención a los adultos mayores y colectivos con necesidades especiales: fortalecimiento del servicio de atención especializada de la Residencia Interna y mejora de las actuales condiciones del Sistema de Residencias Protegidas; continúa el fortalecimiento del programa de atención a personas con necesidades educativas especiales de la Quinta de los Molinos y la sensibilización y capacitación con expertos nacionales, para el desarrollo de servicios y oportunidades laborales dirigidos a colectivos con necesidades especiales; y se incorpora el fortalecimiento de los servicios que ofrece el Hogar Materno-Infantil de La Habana Vieja.",No gender component,Principal disability component,Euskal Fondoa,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Euskal Fondoa,Other channel,10000,Donor Government
11000,2018000276,FK18/112805N,2018,D02,ODA Grants,Norway,Namibia,1.14116e-07,,I.6. Other Social Infrastructure & Services,Culture and recreation,"Peace Corps, FK Norway, personnel exchange","PEACE CORPS, FK NORWAY, PERSONNEL EXCHANGE","NoNa is a cultural exchange program where musicians / music teachers are exchangeing knowledge ans skills. Music is a universal and peace building language, where both partners in the project have a lot to learn from each other. From 2012 we extend the program to also include music for persons with mental disabilities and other special needs in the project.",No gender component,Significant disability component,Kvæfjord kommune,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Kvæfjord Kommune,Other channel,10000,Donor Government
11000,2018000275,FK18/112804N,2018,D02,ODA Grants,Norway,Namibia,1.14116e-07,,I.6. Other Social Infrastructure & Services,Culture and recreation,"Peace Corps, FK Norway, personnel exchange","PEACE CORPS, FK NORWAY, PERSONNEL EXCHANGE","NoNa is a cultural exchange program where musicians / music teachers are exchangeing knowledge ans skills. Music is a universal and peace building language, where both partners in the project have a lot to learn from each other. From 2012 we extend the program to also include music for persons with mental disabilities and other special needs in the project.",No gender component,Significant disability component,Kvæfjord kommune,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Kvæfjord Kommune,Other channel,10000,Donor Government
11000,20120072170001,107217,2018,C01,ODA Grants,Canada,"Africa, regional",0.125107,,IV.1. General Environment Protection,Environmental research,DFID-IDRC Global Adaptation Research Program,DFID-IDRC GLOBAL ADAPTATION RESEARCH PROGRAM,"The Global Adaptation Research Program (now known as the Collaborative Adaptation Research Initiative in Africa and Asia or CARIAA) is a new partnership between IDRC and the UK's Department for International Development. This program of research on adaptation to climate change represents a joint investment of $70 million over seven years in Asia and Africa. The program aims to develop robust evidence to inform policies and practices capable of increasing the resilience of vulnerable populations. Its geographic focus consists of  hot spots  in Africa and Asia: semi-arid zones, mega-deltas and densely populated river basins (including glacier-fed systems). These hot spots combine two factors: significant impacts in the biophysical environment from climate change, and high risks to the livelihood of a large number of poor people with limited capacity to adapt.Using different socio-economic scenarios and climate warming scenarios, researchers will develop a better understanding of the conditions that make poor people vulnerable to climate change. As well, researchers will identify sustainable adaptation measures that can be promoted within and across the hot spots. Research findings will provide decision-makers at the local, national and regional levels with robust scientific evidence needed to policies and programs capable of increasing the resilience of vulnerable populations to climate change.",No gender component,Not screened,International Development Research Centre/Centre de recherches pour le développement international/,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,International Development Research Centre/centre De Recherches Pour Le Développement International/,Other channel,10000,Donor Government
11000,20120072170003,107217,2018,C01,ODA Grants,Canada,"South Asia, regional",0.125107,,IV.1. General Environment Protection,Environmental research,DFID-IDRC Global Adaptation Research Program,DFID-IDRC GLOBAL ADAPTATION RESEARCH PROGRAM,"The Global Adaptation Research Program (now known as the Collaborative Adaptation Research Initiative in Africa and Asia or CARIAA) is a new partnership between IDRC and the UK's Department for International Development. This program of research on adaptation to climate change represents a joint investment of $70 million over seven years in Asia and Africa. The program aims to develop robust evidence to inform policies and practices capable of increasing the resilience of vulnerable populations. Its geographic focus consists of  hot spots  in Africa and Asia: semi-arid zones, mega-deltas and densely populated river basins (including glacier-fed systems). These hot spots combine two factors: significant impacts in the biophysical environment from climate change, and high risks to the livelihood of a large number of poor people with limited capacity to adapt.Using different socio-economic scenarios and climate warming scenarios, researchers will develop a better understanding of the conditions that make poor people vulnerable to climate change. As well, researchers will identify sustainable adaptation measures that can be promoted within and across the hot spots. Research findings will provide decision-makers at the local, national and regional levels with robust scientific evidence needed to policies and programs capable of increasing the resilience of vulnerable populations to climate change.",No gender component,Not screened,International Development Research Centre/Centre de recherches pour le développement international/,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,International Development Research Centre/centre De Recherches Pour Le Développement International/,Other channel,10000,Donor Government
11000,2018000030,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.530163,0.530163,IV.2. Other Multisector,Urban development and management,"Financial assistance for the reconstruction and construction of wordly secular objects within religious-cultural centers (such as universal multifunctional hall, museum and gallery), public buildings, communal and social infrastructure, for the promotion of sustainable return of the population, for",FINANCIAL ASSISTANCE FOR THE RECONSTRUCTION AND CONSTRUCTION OF WORDLY SECULAR OBJECTS WITHIN RELIGIOUS-CULTURAL CENTERS (SUCH AS UNIVERSAL MULTIFUNCT,"Financial assistance for the reconstruction and construction of wordly, secular objects within religious-cultural centers (such as universal multifunctional hall, museum and gallery), public buildings, communal and social infrastructure, for the promotion of sustainable return of the population, for the promotion of economic activities, for institutions for persons with special needs and centers for returnees in Bosnia and Herzegovina. In 2017, a total of 52 projects were approved. In 2018, a total of 44 projects were completed.",Not screened,Not screened,Donor Government,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Donor Government,Other channel,10000,Donor Government
11000,2015000135040,SCR.CTR.378586,2018,H01,ODA Grants,EU Institutions,"Bilateral, unspecified",0,0.0262748,IX. Unallocated / Unspecified,Promotion of development awareness (non-sector allocable),Financial Audit of contract CSO-LA/2013/281-045 with Learning Disability Wales,FINANCIAL AUDIT OF CONTRACT CSO-LA/2013/281-045 WITH LEARNING DISABILITY WALES,"",No gender component,Principal disability component,Other public entities in donor country,Other public entities in donor country,11004,Principal,Yes,No,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Other Public Entities In Donor Country,Other channel,10000,Donor Government
