CrsID,ProjectNumber,Year,FlowName,DonorName,RecipientName,USD_Disbursement_Defl,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,SubPurpose
2018000451,INK504,2018,ODA Grants,Australia,Kiribati,0.0453351,Education facilities and training,Kiribati Disability,KIRIBATI DISABILITY,"The Kiribati Disability initiative aligns with the newly developed Development for All 2015-2020: Strategy for Strengthening Disability Inclusive Development in Australia's Aid Program. The initiative supports a range of activities that focus on inclusive development that is geared to better deliver health and education services to the most vulnerable and excluded individuals, people with disabilities. Activities under the initiative include: core funding support to the School and Centre for Children with Special Needs; the Ministry of Education's inclusive activities; improving disability related services of the Ministry of Health including infrastructural developments to the rehabilitation centre and the mental health facility; and strengthening the Ministry of Women Youth Social Affairs as the lead GoK division in the disability sector. The total value of the initiative is $3m over 5 years, starting 2011-12.",Principal gender component,Principal disability component,Recipient Government,Recipient Government,Education
2.013E+12,SCR.CTR.328792,2018,ODA Grants,EU Institutions,Mexico,0.0449282,Health policy and administrative management,"Programa de inclusión educativa para niños con discapacidad visual, auditiva y de lenguaje del Estado de Chihuahua","PROGRAMA DE INCLUSIÓN EDUCATIVA PARA NIÑOS CON DISCAPACIDAD VISUAL, AUDITIVA Y DE LENGUAJE DEL ESTADO DE CHIHUAHUA","Objetivo general.  Incidir en la Integración exitosa y equidad social de los niños y jóvenes con discapacidad visual, auditiva y de lenguaje en el sector educativo del estado de chihuahua.   Objetivo específico 1: Coadyuvar en la implementación exitosa del Programa de Fortalecimiento de la Educación Especial y de la Integración Educativa existente del Gobierno Federal.  2: Promover y fortalecer acciones de inclusión entre la ciudadanía para lograr un apoyo complementario a la educación regular",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,Education
2016160136,57300431,2018,ODA Grants,Finland,Syrian Arab Republic,0.0433349,Removal of land mines and explosive remnants of war,FRC/ICRC/Humanitarian Mine Action in Syria,FRC/ICRC/HUMANITARIAN MINE ACTION IN SYRIA,In Syria the International Committee of the Red Cross (ICRC) organizes education on mines and explosives for staff of the Syrian Arab Red Crescent (SARC) and builds together with SARC a network of volunteers to raise the awareness of risk of mines and explosive remnants of war in local communities. Medical service providers are unable to cope with the constant influx of patients needing emergency care. ICRC will distribute material assistance. ICRC will also continue to help physically disabled people in the rehabilitation centers in Aleppo and Damascus. Rehabilitation Centers will provide also psychosocial support and funds for microeconomic initiatives for the most vulnerable. Beneficiaries of the action are the local population disabled people and SARC as the humanitarian aid provider. Support will be channeled through the Finnish Red Cross. Finland will fund ICRC's humanitarian activities in Syria through FRC with 963 000 euros during 2016-2020.,No gender component,Significant disability component,Finnish Red Cross,Donor country-based NGO,Education
2018131132,131132,2018,Private Development Finance,Ford Foundation,India,0.0391214,Early childhood education,Paramahansa Yogananda Society for Special Unfolding and Moulding,PARAMAHANSA YOGANANDA SOCIETY FOR SPECIAL UNFOLDING AND MOULDING,Programme: Beyond. Description: To strengthen holistic early intervention efforts for newborn to six-year-old children with intellectual disabilities in Uttar Pradesh in order to increase integration into mainstream schools.,No gender component,Principal disability component,Paramahansa Yogananda Society for Special Unfolding and Moulding,Developing country-based NGO,Education
2018005918-1,009-120770-A,2018,ODA Grants,Spain,Cuba,0.0390918,Multisector aid for basic social services,Strengthening and diversifying the social care program in the Historic Center of Havana older adults and groups with needs,STRENGTHENING AND DIVERSIFYING THE SOCIAL CARE PROGRAM IN THE HISTORIC CENTER OF HAVANA OLDER ADULTS AND GROUPS WITH NEEDS,"Título completo del proyecto: Fortalecimiento y diversificación del programa de atención social en el Centro Histórico de La Habana: adultos mayores y colectivos con necesidades especiales. Tercera fase :: Fortalecer el programa de atención a los adultos mayores y colectivos con necesidades especiales: fortalecimiento del servicio de atención especializada de la Residencia Interna y mejora de las actuales condiciones del Sistema de Residencias Protegidas; continúa el fortalecimiento del programa de atención a personas con necesidades educativas especiales de la Quinta de los Molinos y la sensibilización y capacitación con expertos nacionales, para el desarrollo de servicios y oportunidades laborales dirigidos a colectivos con necesidades especiales; y se incorpora el fortalecimiento de los servicios que ofrece el Hogar Materno-Infantil de La Habana Vieja.",No gender component,Principal disability component,Euskal Fondoa,Donor Government,Education
2016160136,57300431,2018,ODA Grants,Finland,Syrian Arab Republic,0.0288899,Basic health care,FRC/ICRC/Humanitarian Mine Action in Syria,FRC/ICRC/HUMANITARIAN MINE ACTION IN SYRIA,In Syria the International Committee of the Red Cross (ICRC) organizes education on mines and explosives for staff of the Syrian Arab Red Crescent (SARC) and builds together with SARC a network of volunteers to raise the awareness of risk of mines and explosive remnants of war in local communities. Medical service providers are unable to cope with the constant influx of patients needing emergency care. ICRC will distribute material assistance. ICRC will also continue to help physically disabled people in the rehabilitation centers in Aleppo and Damascus. Rehabilitation Centers will provide also psychosocial support and funds for microeconomic initiatives for the most vulnerable. Beneficiaries of the action are the local population disabled people and SARC as the humanitarian aid provider. Support will be channeled through the Finnish Red Cross. Finland will fund ICRC's humanitarian activities in Syria through FRC with 963 000 euros during 2016-2020.,No gender component,Significant disability component,Finnish Red Cross,Donor country-based NGO,Education
2018007043-1,009-122747-A,2018,ODA Grants,Spain,Ecuador,0.0253035,Education policy and administrative management,Ecuador 2018 Inclusive education Bridging the Gap,ECUADOR 2018 INCLUSIVE EDUCATION BRIDGING THE GAP,"Ayuda en especie de cooperación internacional en desarrollo de la Política Exterior del Gobierno a favor de Federación Nacional de Ecuatorianos con Discapacidad Física (FENEDIF), Federación Nacional de Personas Sordas del Ecuador (FENASEC), Federación Nacional de Ciegos del Ecuador (FENCE) y Federación Ecuatoriana Pro Atención a la persona con Discapacidad Intelectual, Autismo, Parálisis Cerebral y Síndrome de Down (FEPAPDEM) para fomentar la educación inclusiva en Ecuador (2018-2021)",No gender component,Principal disability component,Vía AECID,Donor Government,Education
2016001243,QZA-15/0470-83,2018,ODA Grants,Norway,Zambia,0.0225287,Teacher training,Access to quality education for people with deafblindness,ACCESS TO QUALITY EDUCATION FOR PEOPLE WITH DEAFBLINDNESS,Bauleni Special Needs School,Significant gender component,Principal disability component,Atlas-alliansen,Donor country-based NGO,Education
2018000149,n.a.,2018,Private Development Finance,Oak Foundation,Zimbabwe,0.0189366,Social Protection,Ishe Anesu Multi-purpose Centre for Disabled Children,ISHE ANESU MULTI-PURPOSE CENTRE FOR DISABLED CHILDREN,"Programme: Zimbabwe. Sub-programme: Special Needs Education.  Description: To support disabled children in Zimbabwe. Ishe Anesu Project is located within the Hilltop United Methodist Church premises in Sakubva, Mutare. Ishe Anesu is an after-school project designed to provide education to vulnerable children.. Total grant amount: USD 19.2 thousand.",No gender component,Significant disability component,Ishe Anesu Multi-purpose Centre for Disabled Children,"University, college or other teaching institution, research institute or think-tank",Education
2018006129-1,009-121033-A,2018,ODA Grants,Spain,Honduras,0.0111691,Education facilities and training,Maintenance of two classes of the Santa Teresa School and the Kinder Virgen del Pino stimulation classroom for children with specific needs,MAINTENANCE OF TWO CLASSES OF THE SANTA TERESA SCHOOL AND THE KINDER VIRGEN DEL PINO STIMULATION CLASSROOM FOR CHILDREN WITH SPECIFIC NEEDS,"Título completo del proyecto: Mantenimiento de dos aulas de la Escuela Santa Teresa y del aula de estimulación del Kinder Virgen del Pino, para niños y niñas con necesidades especiales. 1 curso escolar, año 2018, de Tegucigalpa. Honduras. :: MANTENER EN FUNCIONAMEINTO EL AULA DE ESTIMULACIÓN PARA NIÑOS Y NIÑAS CON NECESIDADES ESPECIALES.",No gender component,Principal disability component,ASOCIACIÓN IDEA,Donor country-based NGO,Education
2018001050,QZA-12/0763-323,2018,ODA Grants,Norway,China (People's Republic of),0.0087014,Teacher training,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,Training of teachers in day care centers and training of trainers.,No gender component,Principal disability component,Digni,Donor country-based NGO,Education
2018006177-1,009-121081-A,2018,ODA Grants,Spain,Bolivia,0.00329153,Education facilities and training,SAN MARTIN DE PORRES SPECIAL EDUCATION CENTER,SAN MARTIN DE PORRES SPECIAL EDUCATION CENTER,"Título completo del proyecto: CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES :: ACCESIBILIDAD, ADAPTACIÓN Y ADECUACIÓN DE ZONA LAVABOS Y SANITARIOS",No gender component,Principal disability component,Aragonese solidary action,Donor country-based NGO,Education
2018005296-2,009-119504-B,2018,ODA Grants,Spain,Morocco,0.00111691,Basic nutrition,Improve nutrition and transport conditions in special education centers in the Sahara,IMPROVE NUTRITION AND TRANSPORT CONDITIONS IN SPECIAL EDUCATION CENTERS IN THE SAHARA,Título completo del proyecto: Mejorar condiciones nutricionales y de transporte en centros de educación especial en el Sahara :: Mejorar la calidad de vida de los alumnos de centros de educación especial,No gender component,Significant disability component,International Committee of the Red Cross,International Committee of the Red Cross,Education
2018000295,FK18/116103N1,2018,ODA Grants,Norway,Malawi,,Medical education/training,"Peace Corps, FK Norway, personnel exchange","PEACE CORPS, FK NORWAY, PERSONNEL EXCHANGE","Knowledge exchange between Montfort's special education center (Montfort) in Malawi and Briskeby school, to ensure that children with hearing loss are identified by examination in Malawi, thus allowing them to use their residual hearing.",No gender component,Principal disability component,HLF - Hørselshemmedes Landsforbund,Donor country-based NGO,Education
2018000296,FK18/116103N2,2018,ODA Grants,Norway,Malawi,,Medical education/training,"Peace Corps, FK Norway, personnel exchange","PEACE CORPS, FK NORWAY, PERSONNEL EXCHANGE","Knowledge exchange between Montfort's special education center (Montfort) in Malawi and Briskeby school, to ensure that children with hearing loss are identified by examination in Malawi, thus allowing them to use their residual hearing.",No gender component,Principal disability component,HLF - Hørselshemmedes Landsforbund,Donor country-based NGO,Education
2018006572,300097-101,2018,ODA Grants,United Kingdom,Syrian Arab Republic,6.82307,Material relief assistance and services,Support to the UN World Health Organisation (WHO) for the Syria crisis,SUPPORT TO THE UN WORLD HEALTH ORGANISATION (WHO) FOR THE SYRIA CRISIS,"To provide support to WHO to enable them to deliver health care to those affected by the conflict in Syria. This will be achieved by equipping primary and secondary health facilities with medical supplies and equipment, and through the provision of refresher training to health professionals.  The project will support the provision of disease detection systems and improved health information systems, offering real time data for decision-making to determine whether health is improving and where the needs are greatest. The project will also provide trauma care and mental health and psychosocial support services to those who have been affected by the conflict, including therapy and medication.",Significant gender component,Significant disability component,World Health Organisation - core voluntary contributions account,World Health Organisation - core voluntary contributions account,Employment
2018006572,300097-101,2018,ODA Grants,United Kingdom,Syrian Arab Republic,4.54871,Multi-hazard response preparedness,Support to the UN World Health Organisation (WHO) for the Syria crisis,SUPPORT TO THE UN WORLD HEALTH ORGANISATION (WHO) FOR THE SYRIA CRISIS,"To provide support to WHO to enable them to deliver health care to those affected by the conflict in Syria. This will be achieved by equipping primary and secondary health facilities with medical supplies and equipment, and through the provision of refresher training to health professionals.  The project will support the provision of disease detection systems and improved health information systems, offering real time data for decision-making to determine whether health is improving and where the needs are greatest. The project will also provide trauma care and mental health and psychosocial support services to those who have been affected by the conflict, including therapy and medication.",Significant gender component,Significant disability component,World Health Organisation - core voluntary contributions account,World Health Organisation - core voluntary contributions account,Employment
2018600031,,2018,ODA Grants,Japan,Lao People's Democratic Republic,0.192159,Social Protection,Livelihoods support program for persons with intellectualdisabilities in Lao P.D.R.,LIVELIHOODS SUPPORT PROGRAM FOR PERSONS WITH INTELLECTUALDISABILITIES IN LAO P.D.R.,Livelihoods support program for persons with intellectualdisabilities in Lao P.D.R.,No gender component,Significant disability component,Donor country-based NGO,Donor country-based NGO,Employment
2017010001,61/PPR2017/M2018,2018,ODA Grants,Poland,Belarus,0.0680608,Social Protection,The establishment of sheltered workshop for people with intellectual disabilities in Belarus,THE ESTABLISHMENT OF SHELTERED WORKSHOP FOR PEOPLE WITH INTELLECTUAL DISABILITIES IN BELARUS,"Stworzenie modelowego o?rodka pracy chronionej na bazie szko?y specjalnej w Mo?otkowiczach. Projekt ukierunkowany jest na rozszerzenie istniej?cego modelu kszta?cenia zawodowego w specjalnej szkole-internacie w Mo?otkowiczach, poprzez utworzenie profesjonalnego zak?adu meblarskiego zwi?kszaj?cego mo?liwo?ci rozwoju kompetencji zawodowych niepe?nosprawnych uczniów i absolwentów szko?y, oraz generuj?cego im nowe perspektywy zatrudnienia i zarobku.",No gender component,Principal disability component,Association of Municipalities of the Podlaskie Voivodeship,Donor country-based NGO,Employment
2017010001,61/PPR2017/M2018,2018,ODA Grants,Poland,Belarus,0.0680608,Employment creation,The establishment of sheltered workshop for people with intellectual disabilities in Belarus,THE ESTABLISHMENT OF SHELTERED WORKSHOP FOR PEOPLE WITH INTELLECTUAL DISABILITIES IN BELARUS,"Stworzenie modelowego o?rodka pracy chronionej na bazie szko?y specjalnej w Mo?otkowiczach. Projekt ukierunkowany jest na rozszerzenie istniej?cego modelu kszta?cenia zawodowego w specjalnej szkole-internacie w Mo?otkowiczach, poprzez utworzenie profesjonalnego zak?adu meblarskiego zwi?kszaj?cego mo?liwo?ci rozwoju kompetencji zawodowych niepe?nosprawnych uczniów i absolwentów szko?y, oraz generuj?cego im nowe perspektywy zatrudnienia i zarobku.",No gender component,Principal disability component,Association of Municipalities of the Podlaskie Voivodeship,Donor country-based NGO,Employment
2.011E+12,SCR.CTR.363922,2018,ODA Grants,EU Institutions,Bosnia and Herzegovina,0.0204088,Social Protection,O.P.T.I.O.N. - Overcoming the prejudice and Promoting new Tools for professional Integration Of people with special Needs in Bosnia and Herzegovina an,O.P.T.I.O.N. - OVERCOMING THE PREJUDICE AND PROMOTING NEW TOOLS FOR PROFESSIONAL INTEGRATION OF PEOPLE WITH SPECIAL NEEDS IN BOSNIA AND HERZEGOVINA AN,"The project aims at creating new links among communities, institutions, CSOs and private companies working on social and work integration of people with disabilities in order to promote new tools for social cohesion through start-up of social enterprises.",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,Employment
2.013E+12,SCR.CTR.360232,2018,ODA Grants,EU Institutions,Montenegro,0.0201088,Social Protection,O.P.T.I.O.N.- Overcoming the prejudice and promoting new tools for professional integration of people with special needs in Bosnia and Herzegovina and,O.P.T.I.O.N.- OVERCOMING THE PREJUDICE AND PROMOTING NEW TOOLS FOR PROFESSIONAL INTEGRATION OF PEOPLE WITH SPECIAL NEEDS IN BOSNIA AND HERZEGOVINA AND,"The project aims at i) increasing cultural exchanges and public awareness on the issue of professional integration of people with special needs ii) promoting new tools for the social cohesion in the cross-border area by providing new professional skills to disabled people and facilitating the start-up of social enterprises in both countries iii) increasing the exchange of information about the existing best practices in the cross-border area among CSOs, Institutions and Professional Associations",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,Employment
2018002214,352/e 2018,2018,ODA Grants,Italy,West Bank and Gaza Strip,0.0173604,Social Protection,Access to vocational training and employment opportunitties for people with intellectual disabilities,ACCESS TO VOCATIONAL TRAINING AND EMPLOYMENT OPPORTUNITTIES FOR PEOPLE WITH INTELLECTUAL DISABILITIES,Ramallah and Al Bireh District wuth SMRC - Starmountain Rehabilitation Centre: Promotion of the access of people with intellectual disabilities to vocational training and job opportunities in the rehabilitation center of  Stamountain.,No gender component,Principal disability component,Diakonie Austria,Donor country-based NGO,Employment
2018004354-1,009-118342-A,2018,ODA Grants,Spain,Uganda,0.0138497,Food crop production,AGRICULTURAL PROGRAM WITH SPECIAL ATTENTION TO PEOPLE WITH LIMITED CAPACITIES IN THE SUDANESE SOUTHERN REFUGEES OF BIDI BIDI,AGRICULTURAL PROGRAM WITH SPECIAL ATTENTION TO PEOPLE WITH LIMITED CAPACITIES IN THE SUDANESE SOUTHERN REFUGEES OF BIDI BIDI,"Título completo del proyecto: PROGRAMA AGRÍCOLA, CON ATENCIÓN ESPECIAL A LAS PERSONAS CON CAPACIDADES LIMITADAS, EN EL CAMPO DE REFUGIADOS SUD SUDANESES DE BIDI BIDI. :: El proyecto consiste en asegurar el alimento a las personas refugiadas que se asientan de manera definitiva en Uganda, que huyen de la situación que sufren  en su país en el Sur de Sudán, obligados a desplazarse caminando hasta la frontera con Uganda por las numerosas matanzas, violaciones, ataques y robos a la población y a sus propiedades y negocios a consecuencia de la guerra, unidos a la brutal escala de violencia que se vive en el país. El programa consiste en el reparto de semillas, árboles frutales y sesiones de formación agrícola para el buen desarrollo, mantenimiento y seguimiento de las plantaciones. De esta manera se logrará dotar de alimentos básicos a la población para paliar la malnutrición y generar un pequeño comercio que ayude a mejorar las condiciones económicas que sufren. Dada la limitada situación de las personas con necesidades especiales (ancianos, embarazadas y minusválidos, PSN) se propone una adaptación de este programa para aquellos que más lo necesitan, a fin de facilitar su acceso al mismo.Población beneficiaria: 580 Personas, las personas beneficiarias son refugiadas sur sudaneses que han huido de la guerra. Se encuentran en los asentamientos 6, 9 y 10 de la Zona 4. Según las estimaciones de Naciones Unidas, un 60% son niñosy niñas, 26% son mujeres y el 14% son varones.",Significant gender component,Principal disability component,Direct africa Foundation,Donor country-based NGO,Employment
2017170494,17AF135-FT,2018,ODA Grants,Finland,Sierra Leone,0.000118337,Employment creation,F.a: The MSL acquired land clearing and building of the Security post,F.A: THE MSL ACQUIRED LAND CLEARING AND BUILDING OF THE SECURITY POST,"This project is to protect the Mobility SL acquired land by clearing the one acre land and building of a security post. Mobility SL wants to have a National mobility devices production center for the local production of devices such as wheelchairs, crutches, personal energy transport, cerebral palsy seaters.The other half site of the land is for the building of the vocational skill training center for disabled and non disabled people to come for their livelihood skills training courses in carpentry, mason, welding, wheelchair repairs, electronics etc.",Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,Employment
2017170494,17AF135-FT,2018,ODA Grants,Finland,Sierra Leone,0.000118337,Food crop production,F.a: The MSL acquired land clearing and building of the Security post,F.A: THE MSL ACQUIRED LAND CLEARING AND BUILDING OF THE SECURITY POST,"This project is to protect the Mobility SL acquired land by clearing the one acre land and building of a security post. Mobility SL wants to have a National mobility devices production center for the local production of devices such as wheelchairs, crutches, personal energy transport, cerebral palsy seaters.The other half site of the land is for the building of the vocational skill training center for disabled and non disabled people to come for their livelihood skills training courses in carpentry, mason, welding, wheelchair repairs, electronics etc.",Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,Employment
2018007021,300337-101,2018,ODA Grants,United Kingdom,Jordan,0.742441,Multisector aid,Provision of mental health services and integrated protection by IMC in Jordan,PROVISION OF MENTAL HEALTH SERVICES AND INTEGRATED PROTECTION BY IMC IN JORDAN,"IMC will identify eligible refugees in Balqa, Irbid, Jerash, and Mafraq governorates, including Zaatari refugee camp. IMC will assess potential beneficiaries and determine eligibility for which (if any) of the services they provide. IMC will provide mental health services according to the Inter Agency Standing Committee (IASC) global guidelines on mental health services.The project seeks to provide 700 individuals with specialised mental health services; enable 2,400 children to receive integrated protection and psychological support services; provide 3 months cash support to 300 vulnerable families; provide 120 health care providers with mental health training; and ensure that 90 children with mild and moderate developmental disorders receive mental health support.",No gender component,Principal disability component,INTERNATIONAL NGO,International NGO,Family
2018010028,MD-2018-003-DO-16010,2018,ODA Grants,Czech Republic,Moldova,0.167959,Social Protection,Aid for children with autistic spectrum disorder (ASD) and other genetic disorder in Moldova,AID FOR CHILDREN WITH AUTISTIC SPECTRUM DISORDER (ASD) AND OTHER GENETIC DISORDER IN MOLDOVA,"The purpose of the project is to increase the quality and availability of services provided to children with autism and other genetic disorders and to their parents/caretakers in the Republic of Moldova as well as to improve the quality, access and sustainability of social services provided to the children and their families.",No gender component,Principal disability component,ADRA,Donor country-based NGO,Family
2.015E+12,SCR.CTR.380031,2018,ODA Grants,EU Institutions,Eritrea,0.0723695,Social Protection,Parenting enrichment training for families of children with intellectual and developmental disability,PARENTING ENRICHMENT TRAINING FOR FAMILIES OF CHILDREN WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITY,"The project aims at building the capacity of parents to foster children's holistic development and providing psycho-social and emotional support to families.  The main expected results are:  - Enhanced awareness in dealing with IDD related stigma and discrimination  - Improved understanding and skill to care for children with IDD   - Enhanced networking among parents, association and social service providing agencies  - Enhanced capacity of Association, membership, and scope",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,Family
2018131142,131142,2018,Private Development Finance,Ford Foundation,India,0.0547699,Social Protection,Samadhan,SAMADHAN,Programme: Beyond. Description: To conduct surveys and health camps for early identification of children with intellectual disabilities and provide affordable and accessible intervention services to the families in the slum areas of National Capital Region.,No gender component,Principal disability component,Samadhan,Developing country-based NGO,Family
2018004691,BiH/2018,2018,ODA Grants,Italy,Bosnia and Herzegovina,0.0111107,Medical services,Support for the opening of the Autistic Children's new Service at the Marija Nasa Nada Centre,SUPPORT FOR THE OPENING OF THE AUTISTIC CHILDREN'S NEW SERVICE AT THE MARIJA NASA NADA CENTRE,"Financial support to the Marija Nasa Nada Centre's new activity, a Service designed for Children with Autism and their families opened in 2018",Significant gender component,Principal disability component,5X1000,Donor country-based NGO,Family
2018006913-1,009-122616-A,2018,ODA Grants,Spain,Ecuador,0.00685111,Public sector policy and administrative management,2018 Ecuador Promotion of inclusive political institutions and disability,2018 ECUADOR PROMOTION OF INCLUSIVE POLITICAL INSTITUTIONS AND DISABILITY,"Subvención dineraria a Federación Ecuatoriana Pro Atención a la Persona con Discapacidad Intelectual, Autismo, Parálisis Cerebral y Síndrome de Down (FEPAPDEM) para proyecto para la promoción de instituciones y políticas públicas más inclusivas y transparentes en el marco de subvención UE Bridging the Gap.",No gender component,Principal disability component,FEPAPDEM,Developing country-based NGO,Family
