SectorName,relevance,2014,2015,2016,2017,2018,SectorID,SectorTopLevel
Communications,Principal,0,0.00571274,0.00489996,0.04493685,0.0001742763,II.2,Communications
Communications,Significant,1.42751205,1.963839751,1.2481204619,3.26420912,4.86628766,II.2,Communications
Energy Policy,Principal,0,0.0460225,0,0,0,II.3.a,Energy Policy
Energy Policy,Significant,0.06209039,0.159989,0.07435617,0.00506031,0,II.3.a,Energy Policy
"Energy generation, renewable sources",Significant,0,0,0.0034978,1.7962357,7.034414,II.3.b,"Energy generation, renewable sources"
Energy distribution,Significant,0,0,0,0,0,II.3.f,Energy distribution
Banking & Financial Services,Principal,10.54084326,0.53890641,0.972204,0.6762373,0.6515048,II.4,Banking & Financial Services
Banking & Financial Services,Significant,15.81570156,12.27312966,9.59141553,11.92730865,11.94050093,II.4,Banking & Financial Services
Business & Other Services,Principal,0,0.0537105,0.0501812,0.527152,0.10654414,II.5,Business & Other Services
Business & Other Services,Significant,1.688881159,5.00903838,4.6354683,16.1323374,9.65145982,II.5,Business & Other Services
Agriculture,Principal,0.826769,0.30849018,0.741986166,0.1460548,0.29628597,III.1.a,Agriculture
Agriculture,Significant,20.77889438,16.25775928,18.31464163,17.38802604,22.818345713,III.1.a,Agriculture
Forestry,Significant,0,0.0480766,4.4106313,4.1479975,2.89127528,III.1.b,Forestry
Fishing,Significant,0.125628,0.1966034,0.172433,0.103966,0.2726677,III.1.c,Fishing
Industry,Principal,0,0.0888535,0,0,0.63608203,III.2.a,Industry
Industry,Significant,0.5134995,1.82836494,2.86534593,3.05063254,7.239499895,III.2.a,Industry
Mineral Resources & Mining,Significant,0.6385509,0.613668,0.0650148,0.2228421,0,III.2.b,Mineral Resources & Mining
Trade Policies & Regulations,Principal,0,0,0.00893328,0,0,III.3.a,Trade Policies & Regulations
Trade Policies & Regulations,Significant,0,0.103153,0.2193839,1.45254529,0,III.3.a,Trade Policies & Regulations
Tourism,Significant,0.0130056,0.0572281,0,0,0.9046554,III.3.b,Tourism
General Environment Protection,Principal,0,0,0,0.0122936,0.0804173,IV.1,General Environment Protection
General Environment Protection,Significant,5.77379231,5.4392006978,6.02440356,9.40890135,9.30627881,IV.1,General Environment Protection
Other Multisector,Principal,26.197784388,3.58483112,8.1852172699,4.6904269,7.506746,IV.2,Other Multisector
Other Multisector,Significant,45.97278341,13.978764276,19.92149283,20.5237807966,66.652173885,IV.2,Other Multisector
Unallocated / Unspecified,Principal,2.110984324,1.87060226,2.62490011,0.2201654,2.24092105,IX,Unallocated / Unspecified
Unallocated / Unspecified,Significant,4.634507182,3.893545655,1.64958351,3.45067181,3.43905565,IX,Unallocated / Unspecified
Refugees in Donor Countries,Significant,0.080428257,3.53132,0,0,0,Refugees in Donor Countries,Refugees in Donor Countries
General Budget Support,Significant,1.38797,2.58705,2.0906,0,0.246083,VI.1,General Budget Support
Development Food Assistance,Principal,0.183493,4.24971,4.364584,1.60467,0,VI.2,Development Food Assistance
Development Food Assistance,Significant,3.228803,11.586288,7.5617285,2.316680818,5.858959,VI.2,Development Food Assistance
Other Commodity Assistance,Principal,0,0,0,0,0.01344683,VI.3,Other Commodity Assistance
Emergency Response,Principal,5.44189446,7.13940848,7.4998214,13.9311717,12.5047304,VIII.1,Emergency Response
Emergency Response,Significant,23.80323061,37.19770459,71.1053452,84.4809923,66.5037929,VIII.1,Emergency Response
Reconstruction Relief & Rehabilitation,Principal,0.354984,0,0.283678,0.303934,0.47997152,VIII.2,Reconstruction Relief & Rehabilitation
Reconstruction Relief & Rehabilitation,Significant,0.288676,5.85376301,3.84327093,7.354465034,1.03091829,VIII.2,Reconstruction Relief & Rehabilitation
Disaster Prevention & Preparedness,Principal,0.6435023,0.41898262,0.01351058,0.681779,1.97815938,VIII.3,Disaster Prevention & Preparedness
Disaster Prevention & Preparedness,Significant,2.661013,3.211845,2.017434,5.1967944,9.5264032,VIII.3,Disaster Prevention & Preparedness
