CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,ParentChannelCode,relevance,check,inclusion,employment,intellectual,education,family,advocacy,disability.subpurpose,disability.concsub
2018006129-1,009-121033-A,2018,C01,ODA Grants,Spain,Honduras,0.0111691,0.0111691,"I.1.a. Education, Level Unspecified",Education facilities and training,Maintenance of two classes of the Santa Teresa School and the Kinder Virgen del Pino stimulation classroom for children with specific needs,MAINTENANCE OF TWO CLASSES OF THE SANTA TERESA SCHOOL AND THE KINDER VIRGEN DEL PINO STIMULATION CLASSROOM FOR CHILDREN WITH SPECIFIC NEEDS,"Título completo del proyecto: Mantenimiento de dos aulas de la Escuela Santa Teresa y del aula de estimulación del Kinder Virgen del Pino, para niños y niñas con necesidades especiales. 1 curso escolar, año 2018, de Tegucigalpa. Honduras. :: MANTENER EN FUNCIONAMEINTO EL AULA DE ESTIMULACIÓN PARA NIÑOS Y NIÑAS CON NECESIDADES ESPECIALES.",No gender component,Principal disability component,ASOCIACIÓN IDEA,Donor country-based NGO,22000,22000,Significant,potential false positive,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018609087,MOFA2018609087,2018,C01,ODA Grants,Japan,Côte d'Ivoire,0.119757,0.119757,"I.1.a. Education, Level Unspecified",Education facilities and training,Projet d'aménagement du Complexe Médico-psychopédagogique de prise en charge des enfants et jeunes adultes handicapés intellectuels à Bingerville,PROJET D'AMÉNAGEMENT DU COMPLEXE MÉDICO-PSYCHOPÉDAGOGIQUE DE PRISE EN CHARGE DES ENFANTS ET JEUNES ADULTES HANDICAPÉS INTELLECTUELS À BINGERVILLE,Le projet permettra d'une part d'accroître la capacité d'accueil en faveur des personnes handicapées intellectuelles et d'autre part de leurs garantir des conditions d'apprentissage décentes par la construction de 8 salles de classes et ainsi que l'achat d'équipement.,Significant gender component,No disability component,Developing country-based NGO,Developing country-based NGO,23000,23000,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2017001412,267/2017,2018,B01,ODA Grants,Italy,India,0.156102,0.0783302,"I.1.a. Education, Level Unspecified",Education facilities and training,Expansion of the Snehadeepthy school for disabled children and young people in Thrissur,EXPANSION OF THE SNEHADEEPTHY SCHOOL FOR DISABLED CHILDREN AND YOUNG PEOPLE IN THRISSUR,"Expansion of the Snehadeepthay School of Mannuthy, Thrissur, India, to provide therapies and incentives to disabled children, equip the school with the appropriate facilities and equipment and give continuity to the qualification of the Special School. There is a division into two separate buildings between school-age students and adult boys, the construction of a physiotherapy room, an occupational-playroom, a sensory hall, a speech therapy room, an office for the Professional Center, a computer room, a ramp to reach all floors, a veranda, 4 toilets",No gender component,Not screened,Itallian Ngo,Donor country-based NGO,22000,22000,Principal,No,Not inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2017001453,1246/2016,2018,B01,ODA Grants,Italy,India,0.280838,0.136509,"I.1.a. Education, Level Unspecified",Education facilities and training,Primary and secondary education for children in Dhalai - II and III phase,PRIMARY AND SECONDARY EDUCATION FOR CHILDREN IN DHALAI - II AND III PHASE,"Construction of a primary and secondary school in the Dholai area to provide quality education for children and the poorest children. The school would offer regular meetings between teachers and parents and would also help children with learning difficulties by providing them with post-school afternoon courses. The project involves a fund-raising operation, the first phase of construction (ground floor) of the first English middle school for poor students (maternal and the first 3 years of elementary school), 1st and 2nd floor for children and teenagers from 4 ° to the 12th year (for a total of 675 students) including equipment.",No gender component,Not screened,Itallian Ngo,Donor country-based NGO,22000,22000,Significant,potential false positive,Not inclusion,employment,intellectual,education,family,Not advocacy,Mixed,"employment, education, family"
2017004546-1,009-111483-A,2018,C01,ODA Grants,Spain,Pakistan,0,0,"I.1.a. Education, Level Unspecified",Education facilities and training,The right to education in Hushe Valley,THE RIGHT TO EDUCATION IN HUSHE VALLEY,"Título completo del proyecto: 2017-LANK-05. SABAQ ZARENDUK: POR EL DERECHO A LA EDUCACIÓN EN EL VALLE DE HUSHÉ :: El proyecto se va a llevar a cabo en diez escuelas de ocho poblados del valle de Hushe, distrito Ghanche, región de Baltistan, en la provincia del Gilgit-Baltistan, al norte de Pakistán.                                             El derecho a la educación no está garantizado en Baltistán. El elevado analfabetismo, el absentismo y abandono escolar temprano, su desigual distribución en función del género, la inexistencia de comunidad escolar y la ausencia de profesorado cualificado, disponible y motivado son los ejemplos más visibles de una oferta educativa escasa, discriminatoria y de mala calidad.                                                               Por ello el proyecto pretende extender y reforzar un nuevo modelo educativo en el Valle. Para ello se desarrollarán dos resultados con sus correspondientes actividades                         1. Fortalecimiento de la calidad de la educación asegurando la participación y el compromiso de los Comités de Educación y del profesorado en el Plan Educativo. Para ello se va a definir una política de igualdad de oportunidades a la hora de seleccionar al profesorado, se va a formar a dos profesoras en educación especial, se pagarán pluses económicos a 4 de los profesores y profesoras de mayor cualificación para garantizar su estabilidad en el proyecto, se construirán dos nuevas aulas para educación secundaria, se ofertarán 4 nuevas plazas para niños y niñas con discapacidad en un centro especializado, se ofertarán 6 becas dirigidas a mujeres para la realización de estudios superiores y se impartirán clases de refuerzo para la preparación de exámenes de acceso a estudios superiores.                                                         2. Fortalecimiento de las capacidades de liderazgo y gestión de la comunidad educativa. Para ello se llevará a cabo un programa de hermanamiento entre los centros educativos del valle y la ikastola ALMEN de Eskoriatza, se implementará un programa para garantizar la autonomía económica de los centros escolares, se crearán Comités de Padres y Madres en cada centro, y un/a estudiante de Baltistán realizará el Master de Innovación de Mondragón Unibersitatea.",Principal gender component,No disability component,Felix Baltistan Fundazioa,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,Mixed,"education, family, advocacy"
2017010546,ET-2017-032-DO-11120,2018,C01,ODA Grants,Czech Republic,Ethiopia,0.377908,0.377908,"I.1.a. Education, Level Unspecified",Education facilities and training,"Supporting inclusive education in Dilla and Hossana woredas in SNNPR, Ethipia","SUPPORTING INCLUSIVE EDUCATION IN DILLA AND HOSSANA WOREDAS IN SNNPR, ETHIPIA","Enhancing school capacities in Hossana (Hadiya Zone) and Dille (Gedeo Zone): Increasing the capacity of teaching and primary schools by setting up appropriate pedagogical approaches to children with special needs, developing inclusive education and gender sensitivity training. (This may include training and training of teachers, pedagogical students and possibly other school staff, development of new training strategies, curricula and teaching materials, revision of existing educational materials, and incorporation of inclusive education principles into newly designed documents.)",Significant gender component,Principal disability component,People in Need,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018003561-4,009-117546-D,2018,C01,ODA Grants,Spain,Mozambique,0.041817,0.0246037,"I.1.a. Education, Level Unspecified",Education facilities and training,Passport for life For a quality primary school,PASSPORT FOR LIFE FOR A QUALITY PRIMARY SCHOOL,"La propuesta tiene como objetivo general contribuir al fortalecimiento y mejora del derecho a una Enseñanza Básica en Mozambique. Para ello, centra su actuación en el Distrito de Nhlamankulu, uno de los distrititos más poblados y marginados de la capital.En el distrito se han seleccionado cuatro escuelas públicas primarias situadas en dos de los barrios más conflictivos de Maputo, pero muy conocidos por CESAL y por el Socio local, Khandlelo. El objetivo específico es mejorar las dimensiones de calidad y aceptabilidad del derecho humano a la educación a través del desarrollo de programas curriculares e infraestructuras sostenibles en estas escuelas que fomenten unaeducación proactiva, inclusiva y con valores de género y medioambientales, desde un enfoque de derechos humanos y con una gestión participativa en las escuelas. El primer resultado, centrado en la dimensión de aceptabilidad, hace referencia al desarrollo e implementación de dos programas: un programa psicopedagógico que sea capaz de incluir, integrar y de mejorar el rendimiento escolar de las/los alumnos/as con necesidades especiales en cada escuela, y un programa de refuerzo escolar eintegración que contribuirá a una mejor integración de los alumnos/as con necesidades especiales de los últimos cursos de primaria (6º y 7º). Ambos programas incorporan el enfoque de género, medioambiental y de inclusión. El segundo resultado, pretende fortalecer institucionalmente a los Servicios Distritales y a los Consejos Escolares, para un mejor conocimiento de sus funciones y competencias y para la puesta en marcha de una Red Distrital de Consejos Escolares en Nhlamankulu. Este resultado aborda la dimensión de calidad. Por último, el tercer resultado, orientado a la dimensión de participación, instaurará un proceso de gestión transparente, participativa y democrática en la escuela, promoviendo así la identificación y la solución de conflictos de forma consensuada entre los actores. Cada uno de estos resultados contempla incentivar laparticipación de toda la comunidad escolar para una adecuada gestión de la Enseñanza.",Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,Mixed,"education, family, advocacy"
2018000720-1,009-114327-A,2018,C01,ODA Grants,Spain,Mali,0.0371037,0.0371037,"I.1.a. Education, Level Unspecified",Education facilities and training,Labor Integration for girls with mild mental disability and poor mothers of children with disabilities,LABOR INTEGRATION FOR GIRLS WITH MILD MENTAL DISABILITY AND POOR MOTHERS OF CHILDREN WITH DISABILITIES,"El proyecto consiste al restaurar una parte del centro femenino AMALDEME para dar a 40 niñas con discapacidad intelectual y a cuatro madres pobres con niños con discapacitado, las habilidades para aprender un oficio y adquirir una autonomía financiera y social.",Principal gender component,No disability component,Fundación Balcat Solidaris,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,Not education,Not family,advocacy,Mixed,"employment, advocacy"
2017170201,87301531,2018,C01,ODA Grants,Finland,Moldova,0,0.000829876,"I.1.a. Education, Level Unspecified",Teacher training,Building the capacity of local public authorities in school inclusion of children with intellectual disabilities and autism,BUILDING THE CAPACITY OF LOCAL PUBLIC AUTHORITIES IN SCHOOL INCLUSION OF CHILDREN WITH INTELLECTUAL DISABILITIES AND AUTISM,Goal: Develop human resources qualified in assessment and diagnosis of children with disabilities and autism in three pilot districts  Ungheni Leova and Orheito improve access to equal education for all.Objectives:1.The representatives of the district Psycho-pedagogical Assistance Service (PAS) in three pilot districts from Moldova have the required knowledge in assessment and diagnosis of the development level of children with intellectual disabilities and autism for their inclusion into mainstream education.2.Children with intellectual disabilities and autism benefit from an inclusive learning environment in accordance with their rights under the national law and international standards.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,11000,Principal,No,inclusion,employment,intellectual,education,Not family,advocacy,Mixed,"employment, education, advocacy"
2014000391007,SCR.CTR.377805,2018,A02,ODA Grants,EU Institutions,South Africa,0,0.244305,"I.1.a. Education, Level Unspecified",Teacher training,"Strengthening teaching for children with profound hearing, visual and intellectual disabilities in South Africa","STRENGTHENING TEACHING FOR CHILDREN WITH PROFOUND HEARING, VISUAL AND INTELLECTUAL DISABILITIES IN SOUTH AFRICA","The specific objective of the action is: Qualified teachers are able to provide quality education for children with profound hearing, visual and intellectual disabilities.",Significant gender component,Principal disability component,Central Government,Central Government,12001,12000,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2017170424,17AA077,2018,C01,ODA Grants,Finland,Mongolia,0,0.000523907,"I.1.a. Education, Level Unspecified",Teacher training,"F.a: The Intellectual investment into Deaf Children's Education by Empowering Deaf Teachers, Parents and members of other Stakeholders","F.A: THE INTELLECTUAL INVESTMENT INTO DEAF CHILDREN'S EDUCATION BY EMPOWERING DEAF TEACHERS, PARENTS AND MEMBERS OF OTHER STAKEHOLDERS",Improvent of the quality of Deaf Childrens Education though participation of Deaf Teachers in the 3rd WFD Conference in Budapest Nov 2017 and doing advocacy work in Mongolia among the stakeholders after the Conference.,Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,education,family,advocacy,Mixed,"education, family, advocacy"
2018181629,TZ701,2018,C01,ODA Grants,Finland,Tanzania,0.373655,0.0725455,"I.1.a. Education, Level Unspecified",Teacher training,F.a: PITA Participatory and Integrative Teaching Approach,F.A: PITA PARTICIPATORY AND INTEGRATIVE TEACHING APPROACH,"Instruction in upper schools in Tanzania is in English. It is poorly known, particularly in upper schools of remote areas. The use of a foreign tongue for instruction prevents attaining good learning outcomes. Teacher centered teaching methods emphasizing national final examinations present a challenge. Additionally ability of integrating certain subjects, eg. environmental education into the curriculum is lacking. Learning outcomes of girls are weaker than boys, learning difficultiy recognition is low, corporal punishment is widely used, and cooperation between home and school is low. Student support positions are filled by school subject teachers lacking professional qualifications. Expected development results: children and youth in danger of becoming marginalized learn life skills and basics of responsible adulthood through adoption of participatory and integrative teaching methods in 24 schools administered by local communitites in Meru province. Results of activities (i) strengthened cooperation between substance and language (English/Swahili) teachers, development and trial of bilingual teaching practices, (ii) growth of learner centered teaching methods in upper schools, (iii) teachers use comprehensively illustrative teaching aids and materials, (iv) diversification of learning assessment, (v) support for upper school students suffering from learning difficulties, (vi) professional student support supports girls learning and non-violent discipline methods in cooperation with families, (vii) stabilization of the status of environmental education in upper schools, (vii) strengthening professional skills of subject teachers, (ix) strengthening capacity of Makumira University subject teacher training. Activities benefit 24 upper schools in the Meru area and 24648 direct beneficiaries (parents of students, students) and 971 bearers of responsibility. There are 350170 indirect beneficiaries. The target groups are traditional and NGO leaders, children and youth in danger of becoming marginalized, disabled individuals, and key individuals of organizations. The project is imeplemented by the Church of Tanzania University TUMA and its faculty of arts and education subject teacher training. Scientific publications are able to develop th education system nationwide. Additionally there are potential confluences between the work of TUMA to raise the level of upper school teaching and Finlands universities, which will be developed during this project term.",Significant gender component,Not screened,Suomen Lähetysseura ry,Donor country-based NGO,22000,22000,Significant,potential false positive,Not inclusion,employment,intellectual,education,family,Not advocacy,Mixed,"employment, education, family"
2018180216,28235892,2018,C01,ODA Grants,Finland,Tanzania,0.0728914,0,"I.1.a. Education, Level Unspecified",Teacher training,Promoting vocational training for youth with intellectual disabilitiy in Tanzania,PROMOTING VOCATIONAL TRAINING FOR YOUTH WITH INTELLECTUAL DISABILITIY IN TANZANIA,1. Young persons with intellectual disability (ID) have neither rights nor possibilities to get access to pre-vocational education/vocational education and thus lack possibilities to work and earn a living. 2. The project outcomes are: Pre-vocational/vocational education possibilities for youngsters with ID exist in all vocational training centers in the project area. The rights to pre-vocationa/vocational education for the target group are acknowledged. The main project activities include - in-service training for vocational teachers focused on teaching students with ID - mainstreaming courses on special needs education into regular vocational teacher education curriculum-creating and organizing special groups and inclusive teaching possibilities for pre-vocational/vocational education in the vocational training centers in the project area- organizing activities to increase awareness on the rights of persons with ID among responsible education authorities community leaders schools work places and families. 3. The project improves gender equality by focusing especially on girls and women.4. Partners in Finland are FDUV and Kehitysvammaliitto which have knowledge about the target group and experience of work with the target group in East-Africa Optima (special vocational training) and ÅA (special vocational teacher education). Optima and ÅA have knowledge about education and in-service training related to the target group. Local cooperation partners are TAMH (Tanzania Association for Mentally Handicapped) MWAYDEO:s (Mafiga Women and Youth Development Oreganization) (VETA (Vocational Education Teaching Authority) and IAE (Institute of Adult Education). TAMH has local knowledge about the target group MWAYDEO has knowledge of marginalized groups especially women and girls and VETA and IAE have the national responsibility in the field. The project strengthens MWAYDEO:s and TAMH:s work for human rights and VETA:s and IAE:s knowledge and preparedness related to education and training of the target group.5. Youngsters especially girls with intellectual disability.,Significant gender component,Principal disability component,Vaasan Kehitysmaaseura ry,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,family,advocacy,Mixed,"employment, education, family, advocacy"
2014140766,28924125,2018,C01,ODA Grants,Finland,"South of Sahara, regional",0.255565,0,"I.1.a. Education, Level Unspecified",Teacher training,eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa: phase II (2019-2022),ELEARNING TEACHER TRAINING PROGRAMME FOR LITERACY LEARNING AND TEACHING IN SUB-SAHARAN AFRICA: PHASE II (2019-2022),The quality of education is dependent on teachers skills and competences. However poor quality and availability of teacher training together with limited resources for teaching and learning are affecting children's basic skills development namely literacy and numeracy skills. Especially teachers gaps in teaching reading in local languages are serious challenges that affect education quality and childrens illiteracy. The situation is most serious in Sub-Saharan Africa where more than 85% of children are not learning the minimum reading level until the end of primary education. There is a widespread agreement that the pre-service training and in-service professional development of teachers is a key component for improving childrens reading and success in life. The aim of this project is to enhance the capacities and pedagogical competences of the primary school teachers and special education teachers to teach and support reading and provide tools to improve literacy instruction of children at-risk for reading disabilities and children in general education. This continuation project is based on the preparation phase of eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa (eTALE) financially supported by MFA as a disability project in 2015 and continued with funds carried over to 2016 (www.taleafrica.com). Through international African-Finnish teacher training collaboration we will provide pre-service and in-service training for teachers according to national and international policy strategies and goals of Unesco SDG. This will be achieved by developing and providing comprehensive free online professional development programme eTALE on literacy learning and teaching for teachers special education teachers teacher trainers and trainees and voluntary mentors for illiterate women to improve the quality of teaching reading skills and avoid illiteracy. This eTALE PD programme will be piloted in different contexts in Namibia (primary school teachers) Zambia (teachers of rural community schools) Kenya (special education teachers) and Tanzania (mentors for teaching illiterate women and teacher trainees).,Principal gender component,Principal disability component,Niilo Mäki-säätiö,Donor country-based NGO,22000,22000,Significant,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018004912,201739564,2018,B01,ODA Grants,Germany,Sri Lanka,0,0.0389425,"I.1.a. Education, Level Unspecified",Teacher training,"Training programme for primary school teachers in identifying children with special needs and their education, Sri Lanka","TRAINING PROGRAMME FOR PRIMARY SCHOOL TEACHERS IN IDENTIFYING CHILDREN WITH SPECIAL NEEDS AND THEIR EDUCATION, SRI LANKA","Training programme for primary school teachers in identifying children with special needs and their education, Sri Lanka",Significant gender component,Not screened,Donor country-based NGO,Donor country-based NGO,22000,22000,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018181600,ET701,2018,C01,ODA Grants,Finland,Ethiopia,0.304968,0.0686191,"I.1.a. Education, Level Unspecified",Teacher training,F.a: Social and Educational Programme for the Deaf,F.A: SOCIAL AND EDUCATIONAL PROGRAMME FOR THE DEAF,"The project provides training for teachers to facilitate education for deaf children and their access to different school levels, more information to decision-makers and trainers and provides social and counseling services to deaf people. It is estimated that there are over 500.000 deaf persons in Ethiopia, mostly young people, and only less than 5 % of them has access to school. There are very few schools for deaf in the whole country. In addition, special classes for deaf children exist in ordinary schools but after 4th grade they have to attend ordinary classes where the teachers usually do not have sign language skills. The project includes also complementary training courses for teachers working with deaf children and for education sector functionaries responsible for special education. The project works in cooperation with the local Association of the Deaf and the Ministry of Education. In addition, the project increases knowledge about deafness and looks for advocacy opportunities as well as contacts with deaf people and people interested in the work. The implementing agency is the Ethiopian Evangelical Church Mekane Yesus-Development and Social Services Commission-South Central Synod-School for the Deaf (EECMY-DASSC-SCS-School for the Deaf) in Hossana.",Significant gender component,Not screened,Suomen Lähetysseura ry,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
