Save The Children - Local Partner,
Save The Children Canada,
Save The Children Deutschland E. V. (provider Country Office),
Save The Children Finland,
"Sed, (solidaridad, Educación Y Desarrollo).",
Serbia World Music Festival,
Sevilla University,
Sir Humphrey Gibbs Training Center,
Slovenska Filantropija / Slovene Philanthropy,
Slovenska Karitas / Caritas Slovenia,
Snehalaya Charitable Trust,
Sociedad Y Discapacidad,
Society For Applied Studies,
Society For The Welfare Of Autistic Children(swac),
Solidaridad Con América Latina - Castilla Y León,
Solidaridad Médica España ONGD,
Solidaritat - Perifèries Del Món,
Sos-kinderdorf,
Special Needs School N. 22,
Special Olympics - Local Office,
Staze - Podgorica,
Sunnybrook Research Institute,
Suomen Erityiskasvatuksen Liitto Ry,
Suomen Lasten Ja Nuorten Säätiö,
Suomen Lähetysseura Ry,
Suomen Nuorten Miesten Kristillisten Yhd,
Suomi-syyria Ystävyysseura Ry (SSYS),
Supportive Project. International Association For Development Cooperation And Childhood Aid.,
TAU FUNDAZIOA,
TOHAV (TOPLUM VE HUKUK ARASTIRMALARI VAKFI) FOUND. FOR SOCIETY AND LEGAL STUDIES,
Teaching Institution/research And Development Institute,
Terre Des Hommes Italy,
Terre Solidali,
The Hermitage Therapy Centre Ltd,
The National Institution Of Social Care And Vocational Training (niscvt)beit Atfal Assumoud (BAS),
The Research Institute Of The Mcgill University Health Centre/l' Institut De Recherche Du Centre Un,
The Royal Institution For The Advancement Of Learning,
The Royal Institution For The Advancement Of Learning/mcgill University,
The Tearfund,
Trans-cultural Psychosocial Organization,
Trocaire,
Trócaire,
U-landshjälp Från Folk Till Folk I Finland Rf,
UN PONTE PER..,
UNICEF Foundation. Spanish Committee.,
UNRWA - Spanish Committee,
UPP - Un Ponte Per...,
Umeå Universitet,
Un Ponte Per,
Unione Delle Chiese Metodiste E Valdesi - 8XMILLE,
"Unione Delle Chiese Metodiste E Valdesi, Ente Morale Di Culto, Istruzione E Beneficenza",
United Hands,
United Nations Children S Fund (UNICEF) Finland,
Universidad Centroamericana,
Universidad Iberoamericana (UNIBE),
Universidade Federal De Pernambuco,
University Of BURGOS,
University Of Ottawa/université D'ottawa,
University Of The West Indies,
University Of The Witwatersrand,
University Of Valencia,
University Of Waterloo (ontario),
"University, College Or Other Teaching Institution, Research Institute Or Think Tank",
"University, College Or Other Teaching Institution, Research Institute Or Think-tank",
"University, College Or Other Teaching Institution, Research Institute Or Think?tank",
"University, College Or Other Teaching Institution, Research Institute Or Think¿tank",
Université De Kinshasa,
Uppsala Universitet,
VIS – Volontariato Internazionale Per Lo Sviluppo – Comitato Trentino Alto Adige Onlus,
VLIR-UOS - Vlaamse Interuniversitaire Raad - Flemish Interuniversity Council,
VVOB - Vlaamse Vereniging Voor Ontwikkelingssamenwerking En Technische Bijstand,
Vaasan Kehitysmaaseura Ry,
Valencia Politechnical University,
Vdt - Vento Di Terra,
Vento Di Terra Onlus,
Verein Blindenapostolat Suedtirol,
Vicente Ferrer Foundation,
"Voces Mesoamericanas, Acción Con Pueblos Migrantes, Asociación Civil",
Volkshilfe Solidarität,
WILPF Italia - Women International League For Peace And Freedom,
War Child,
War Child Canada,
War Child Holland,
War Trauma Foundation,
Whiz Kids Workshop PLC,
Women Rehabilitation Organization,
Women Win,
Women's Association Of Gali Region,
"World Education, Inc.",
World Learning,
"World Learning, Inc.",
World Vision,
World Vision Canada,
YANAPTASIÑANI,
ZOA,
Zavod Krog,
Österreichische Caritaszentrale,
Österreichisches Rotes Kreuz,
